date,code,name,price,pct,amount_wan,note
2026-08-06,515180,100红利,1.404,0.36,45349.6,盘中13:45
2026-08-06,159928,消费ETF添富,0.667,-1.04,39261.1,盘中13:45
2026-08-06,159938,医药ETF广发,0.645,-1.23,4515.5,盘中13:45
2026-08-06,512880,证券ETF,1.092,-1.53,159406.4,盘中13:45
2026-08-06,512170,医疗ETF,0.331,-1.78,48980.0,盘中13:45
2026-08-06,159920,恒生ETF华夏,1.5,-1.83,31129.7,盘中13:45
2026-08-06,513050,中概互联,1.161,-2.35,173975.6,盘中13:45
2026-08-06,513180,恒指科技,0.609,-2.4,197482.8,盘中13:45
2026-08-06,512980,传媒ETF,0.854,-3.06,33338.6,盘中13:45
2026-08-06,513050,中概互联网ETF易方达,1.161,-2.35,214875.5,收盘20:00
2026-08-06,159928,消费ETF汇添富,0.669,-0.74,52460.5,收盘20:00
2026-08-06,159938,医药ETF广发,0.645,-1.23,6864.9,收盘20:00
2026-08-06,512170,医疗ETF华宝,0.331,-1.78,55403.3,收盘20:00
2026-08-06,513180,恒生科技ETF华夏,0.61,-2.24,271093.5,收盘20:00
2026-08-06,159920,恒生ETF华夏,1.498,-1.96,44347.3,收盘20:00
2026-08-06,512880,证券ETF国泰,1.096,-1.17,210980.4,收盘20:00
2026-08-06,512980,传媒ETF广发,0.865,-1.82,41166.2,收盘20:00
2026-08-06,515180,红利ETF易方达,1.417,1.29,65126.1,收盘20:00
2026-08-07,159938,医药ETF广发,0.667,3.41,4717.1,盘中13:45
2026-08-07,512170,医疗ETF,0.342,3.32,83936.9,盘中13:45
2026-08-07,512980,传媒ETF,0.868,0.35,40893.0,盘中13:45
2026-08-07,159920,恒生ETF华夏,1.503,0.33,41657.9,盘中13:45
2026-08-07,513180,恒指科技,0.611,0.16,152271.3,盘中13:45
2026-08-07,159928,消费ETF添富,0.67,0.15,26384.5,盘中13:45
2026-08-07,513050,中概互联,1.158,-0.26,171811.7,盘中13:45
2026-08-07,512880,证券ETF,1.093,-0.27,122291.5,盘中13:45
2026-08-07,515180,100红利,1.409,-0.56,23230.1,盘中13:45
2026-08-07,512170,医疗ETF,0.346,4.53,123516.4,收盘20:00
2026-08-07,159938,医药ETF广发,0.674,4.5,7525.3,收盘20:00
2026-08-07,513180,恒指科技,0.613,0.49,192338.7,收盘20:00
2026-08-07,159920,恒生ETF华夏,1.505,0.47,122024.2,收盘20:00
2026-08-07,159928,消费ETF添富,0.672,0.45,37015.8,收盘20:00
2026-08-07,512980,传媒ETF,0.867,0.23,48412.4,收盘20:00
2026-08-07,512880,证券ETF,1.096,0.0,178500.7,收盘20:00
2026-08-07,513050,中概互联,1.16,-0.09,205762.6,收盘20:00
2026-08-07,515180,100红利,1.414,-0.21,34170.8,收盘20:00
2026-08-10,159928,消费ETF添富,0.689,2.53,39888.9,盘中13:45
2026-08-10,512170,医疗ETF,0.351,1.45,110818.2,盘中13:45
2026-08-10,515180,100红利,1.429,1.06,24883.7,盘中13:45
2026-08-10,159938,医药ETF广发,0.681,1.04,8547.8,盘中13:45
2026-08-10,513050,中概互联,1.171,0.95,182012.0,盘中13:45
2026-08-10,159920,恒生ETF华夏,1.518,0.86,37522.5,盘中13:45
2026-08-10,513180,恒指科技,0.616,0.49,187761.2,盘中13:45
2026-08-10,512980,传媒ETF,0.87,0.35,26622.6,盘中13:45
2026-08-10,512880,证券ETF,1.099,0.27,113635.3,盘中13:45
2026-08-10,159928,消费ETF添富,0.69,2.68,49351.1,收盘20:00
2026-08-10,512170,医疗ETF,0.353,2.02,130273.8,收盘20:00
2026-08-10,159938,医药ETF广发,0.685,1.63,9235.4,收盘20:00
2026-08-10,512980,传媒ETF,0.879,1.38,37241.8,收盘20:00
2026-08-10,513050,中概互联,1.175,1.29,222457.7,收盘20:00
2026-08-10,515180,100红利,1.429,1.06,35015.5,收盘20:00
2026-08-10,159920,恒生ETF华夏,1.519,0.93,52942.8,收盘20:00
2026-08-10,513180,恒指科技,0.617,0.65,223142.3,收盘20:00
2026-08-10,512880,证券ETF,1.099,0.27,150629.7,收盘20:00
2026-08-11,159938,医药ETF广发,0.692,1.02,5742.3,盘中13:45
2026-08-11,512170,医疗ETF,0.355,0.57,57613.9,盘中13:45
2026-08-11,512880,证券ETF,1.098,-0.09,98068.7,盘中13:45
2026-08-11,159920,恒生ETF华夏,1.515,-0.26,24748.2,盘中13:45
2026-08-11,515180,100红利,1.424,-0.35,19162.6,盘中13:45
2026-08-11,513050,中概互联,1.168,-0.6,193099.7,盘中13:45
2026-08-11,513180,恒指科技,0.613,-0.65,198054.1,盘中13:45
2026-08-11,512980,传媒ETF,0.873,-0.68,22754.6,盘中13:45
2026-08-11,159928,消费ETF添富,0.682,-1.16,29068.0,盘中13:45
2026-08-11,159938,医药ETF广发,0.684,-0.15,75016826.1,收盘20:00
2026-08-11,512880,证券ETF,1.093,-0.55,1518742463.0,收盘20:00
2026-08-11,515180,100红利,1.421,-0.56,313124764.0,收盘20:00
2026-08-11,512170,医疗ETF,0.351,-0.57,742930240.0,收盘20:00
2026-08-11,159920,恒生ETF华夏,1.509,-0.66,344413276.3,收盘20:00
2026-08-11,512980,传媒ETF,0.87,-1.02,315286312.0,收盘20:00
2026-08-11,513180,恒指科技,0.61,-1.13,2450103366.0,收盘20:00
2026-08-11,513050,中概互联,1.16,-1.28,2376028381.0,收盘20:00
2026-08-11,159928,消费ETF添富,0.681,-1.3,364953665.3,收盘20:00
2026-08-12,512980,传媒ETF,0.877,0.8,25892.2,盘中13:45
2026-08-12,159928,消费ETF添富,0.681,0.0,24127.8,盘中13:45
2026-08-12,512880,证券ETF,1.093,0.0,85039.8,盘中13:45
2026-08-12,512170,医疗ETF,0.35,-0.28,39783.0,盘中13:45
2026-08-12,159938,医药ETF广发,0.682,-0.29,4252.4,盘中13:45
2026-08-12,515180,100红利,1.415,-0.42,15341.0,盘中13:45
2026-08-12,159920,恒生ETF华夏,1.49,-1.26,18727.2,盘中13:45
2026-08-12,513180,恒指科技,0.602,-1.31,126503.7,盘中13:45
2026-08-12,513050,中概互联,1.132,-2.41,174179.4,盘中13:45
2026-08-12,512980,传媒ETF,0.876,0.69,323641823.0,收盘20:00
2026-08-12,512880,证券ETF,1.097,0.37,1559926418.0,收盘20:00
2026-08-12,159928,消费ETF添富,0.683,0.29,376696487.4,收盘20:00
