date,code,name,nav_date,nav,pct
2026-08-06,000051,华夏沪深300,2026-08-05,1.7759,1.17
2026-08-06,000071,华夏恒生ETF联接A,2026-08-05,1.5316,0.2
2026-08-06,000248,汇添富主要消费A,2026-08-05,1.8508,-0.7
2026-08-06,000369,广发全球医疗保健A,2026-08-04,2.52,0.08
2026-08-06,000727,融通健康产业,2026-08-05,2.41,-0.12
2026-08-06,000968,广发养老产业,2026-08-05,0.8401,0.25
2026-08-06,001180,广发医药卫生,2026-08-05,0.8178,0.78
2026-08-06,001469,广发金融地产,2026-08-05,1.2318,-0.2
2026-08-06,001551,天弘医药100C,2026-08-05,0.7517,0.29
2026-08-06,001552,天弘证券保险,2026-08-05,1.0629,0.58
2026-08-06,002708,大摩健康产业,2026-08-05,1.848,1.76
2026-08-06,004424,汇添富文体娱乐,2026-08-06,1.7897,-0.93
2026-08-06,005368,富国清洁能源,2026-08-06,1.135,-1.05
2026-08-06,012323,华宝中证医疗C,2026-08-05,0.5828,0.9
2026-08-06,012348,天弘恒生科技A,2026-08-05,0.6729,0.91
2026-08-06,016280,广发全球医疗保健C,2026-08-04,2.479,0.08
2026-08-06,110020,易方达沪深300,2026-08-05,1.9031,1.17
2026-08-06,161616,融通医疗保健,2026-08-05,1.722,1.65
2026-08-06,164906,交银中概互联,2026-08-05,1.023,0.13
2026-08-06,519915,富国消费主题,2026-08-05,1.869,0.16
2026-08-06,519915,富国消费主题,2026-08-06,1.851,-0.96
2026-08-07,000051,华夏沪深300,2026-08-06,1.7733,-0.15
2026-08-07,000071,华夏恒生ETF联接A,2026-08-06,1.51,-1.41
2026-08-07,000248,汇添富主要消费A,2026-08-06,1.842,-0.48
2026-08-07,000369,广发全球医疗保健A,2026-08-05,2.549,1.15
2026-08-07,000727,融通健康产业,2026-08-06,2.397,-0.54
2026-08-07,000968,广发养老产业,2026-08-06,0.8329,-0.86
2026-08-07,001180,广发医药卫生,2026-08-06,0.8052,-1.54
2026-08-07,001469,广发金融地产,2026-08-06,1.2284,-0.28
2026-08-07,001551,天弘医药100C,2026-08-06,0.7431,-1.14
2026-08-07,001552,天弘证券保险,2026-08-06,1.0517,-1.05
2026-08-07,002708,大摩健康产业,2026-08-06,1.822,-1.41
2026-08-07,002742,泓德裕祥债券,2026-08-06,1.2612,-0.03
2026-08-07,004752,广发传媒联接,2026-08-06,0.8623,-2.04
2026-08-07,012323,华宝中证医疗C,2026-08-06,0.5728,-1.72
2026-08-07,012323,华宝中证医疗C,2026-08-07,0.5973,4.28
2026-08-07,012348,天弘恒生科技A,2026-08-06,0.6583,-2.17
2026-08-07,012348,天弘恒生科技A,2026-08-07,0.6631,0.73
2026-08-07,016280,广发全球医疗保健C,2026-08-05,2.507,1.13
2026-08-07,016280,广发全球医疗保健C,2026-08-06,2.511,0.16
2026-08-07,100032,富国红利,2026-08-06,0.965,0.94
2026-08-07,100032,富国红利,2026-08-07,0.964,-0.1
2026-08-07,110020,易方达沪深300,2026-08-06,1.9006,-0.13
2026-08-07,161616,融通医疗保健,2026-08-06,1.704,-1.05
2026-08-07,164906,交银海外互联,2026-08-06,1.0083,-1.44
2026-08-10,000051,华夏沪深300ETF联接A,2026-08-07,1.7892,0.90
2026-08-10,000071,华夏恒生ETF联接A,2026-08-07,1.5176,0.50
2026-08-10,000248,汇添富主要消费A,2026-08-07,1.8467,0.26
2026-08-10,000369,广发全球医疗保健A,2026-08-06,2.5530,0.16
2026-08-10,000727,融通健康产业,2026-08-07,2.4740,3.21
2026-08-10,000968,广发养老产业,2026-08-07,0.8427,1.18
2026-08-10,001180,广发医药卫生,2026-08-07,0.8412,4.47
2026-08-10,001469,广发金融地产,2026-08-07,1.2246,-0.31
2026-08-10,001551,天弘医药100C,2026-08-07,0.7720,3.89
2026-08-10,001552,天弘证券保险,2026-08-07,1.0515,-0.02
2026-08-10,002708,大摩健康产业,2026-08-07,1.9900,9.22
2026-08-10,002742,泓德裕祥债券,2026-08-07,1.2598,-0.11
2026-08-10,004424,汇添富文体娱乐,2026-08-07,1.7853,-0.25
2026-08-10,004752,广发传媒联接,2026-08-07,0.8664,0.48
2026-08-10,005368,富国清洁能源,2026-08-07,1.1448,0.86
2026-08-10,110020,易方达沪深300,2026-08-07,1.9175,0.89
2026-08-10,161616,融通医疗保健,2026-08-07,1.8290,7.34
2026-08-10,164906,交银海外互联,2026-08-07,1.0105,0.22
2026-08-10,519915,富国消费主题,2026-08-07,1.8550,0.22
2026-08-11,000051,华夏沪深300ETF联接A,2026-08-10,1.792,0.16
2026-08-11,000071,华夏恒生ETF联接A,2026-08-10,1.5325,0.98
2026-08-11,000248,汇添富主要消费A,2026-08-10,1.8898,2.33
2026-08-11,000369,广发全球医疗保健A,2026-08-07,2.574,0.82
2026-08-11,000727,融通健康产业A/B,2026-08-10,2.532,2.34
2026-08-11,000968,广发养老产业A,2026-08-10,0.8562,1.6
2026-08-11,001180,广发医药卫生A,2026-08-10,0.8518,1.26
2026-08-11,001469,广发金融地产A,2026-08-10,1.2281,0.29
2026-08-11,001551,天弘医药100C,2026-08-10,0.777,0.65
2026-08-11,001552,天弘证券保险A,2026-08-10,1.0525,0.1
2026-08-11,002708,大摩健康产业混合A,2026-08-10,2.039,2.46
2026-08-11,002742,泓德裕祥债券A,2026-08-10,1.2613,0.12
2026-08-11,004424,汇添富文体娱乐A,2026-08-10,1.8223,2.07
2026-08-11,004752,广发传媒ETF联接A,2026-08-10,0.8761,1.12
2026-08-11,005368,富国清洁能源A,2026-08-10,1.151,0.54
2026-08-11,012323,华宝中证医疗C,2026-08-10,0.6081,1.81
2026-08-11,012323,华宝中证医疗C,2026-08-11,0.6058,-0.38
2026-08-11,012348,天弘恒生科技A,2026-08-10,0.6709,1.18
2026-08-11,012348,天弘恒生科技A,2026-08-11,0.6586,-1.83
2026-08-11,016280,广发全球医疗保健C,2026-08-07,2.531,0.8
2026-08-11,100032,富国红利增强A,2026-08-10,0.974,1.04
2026-08-11,100032,富国红利增强A,2026-08-11,0.969,-0.51
2026-08-11,110020,易方达沪深300A,2026-08-10,1.9194,0.1
2026-08-11,161616,融通医疗保健A/B,2026-08-10,1.863,1.86
2026-08-11,519915,富国消费主题A,2026-08-10,1.888,1.78
2026-08-12,000051,华夏沪深300ETF联接A,2026-08-11,1.7786,-0.75
2026-08-12,000071,华夏恒生ETF联接A,2026-08-11,1.5164,-1.05
2026-08-12,000248,汇添富主要消费A,2026-08-11,1.8697,-1.06
2026-08-12,000369,广发全球医疗保健A,2026-08-10,2.608,1.32
2026-08-12,000727,融通健康产业A/B,2026-08-11,2.554,0.87
2026-08-12,000968,广发养老产业A,2026-08-11,0.8549,-0.15
2026-08-12,001180,广发医药卫生A,2026-08-11,0.8526,0.09
2026-08-12,001469,广发金融地产A,2026-08-11,1.2239,-0.34
2026-08-12,001551,天弘医药100C,2026-08-11,0.78,0.39
2026-08-12,001552,天弘证券保险A,2026-08-11,1.0438,-0.83
2026-08-12,002708,大摩健康产业A,2026-08-11,2.058,0.93
2026-08-12,002742,泓德裕祥债券A,2026-08-11,1.2601,-0.1
2026-08-12,004424,汇添富文体娱乐A,2026-08-11,1.8084,-0.76
2026-08-12,004752,广发传媒ETF联接A,2026-08-11,0.8657,-1.19
2026-08-12,005368,富国清洁能源A,2026-08-11,1.1482,-0.24
2026-08-12,016280,广发全球医疗保健C,2026-08-10,2.565,1.34
2026-08-12,110020,易方达沪深300A,2026-08-11,1.9052,-0.74
2026-08-12,161616,融通医疗保健A/B,2026-08-11,1.876,0.7
2026-08-12,164906,交银中概互联A,2026-08-10,1.0265,1.58
2026-08-12,519915,富国消费主题A,2026-08-11,1.892,0.21
2026-08-12,000968,广发养老产业,2026-08-12,0.8569,0.23
2026-08-12,001180,广发医药卫生,2026-08-12,0.8482,-0.52
2026-08-12,000071,华夏恒生ETF联接A,2026-08-12,1.5037,-0.84
2026-08-12,012348,天弘恒生科技A,2026-08-12,0.6522,-0.97
2026-08-12,164906,交银海外互联,2026-08-11,1.0043,-2.16
2026-08-13,002708,大摩健康产业A,2026-08-12,2.06,0.1
2026-08-13,002742,泓德裕祥债券A,2026-08-12,1.2594,-0.06
2026-08-13,004752,广发传媒联接A,2026-08-12,0.8749,1.06
2026-08-13,005368,富国清洁能源,2026-08-12,1.1526,0.38
2026-08-13,110020,易方达沪深300联接A,2026-08-12,1.9156,0.55
2026-08-13,000369,广发全球医疗A,2026-08-11,2.6,-0.31
2026-08-13,100032,富国红利增强A,2026-08-12,0.967,-0.21
2026-08-13,161616,融通医疗保健A/B,2026-08-12,1.877,0.05
2026-08-13,000051,华夏沪深300联接A,2026-08-12,1.7884,0.55
2026-08-13,519915,富国消费主题A,2026-08-12,1.892,0.0
2026-08-13,001551,天弘医药100C,2026-08-12,0.7763,-0.47
2026-08-13,000248,汇添富主要消费A,2026-08-12,1.8741,0.24
2026-08-13,016280,广发全球医疗C,2026-08-11,2.557,-0.31
2026-08-13,001469,广发金融地产A,2026-08-12,1.225,0.09
